scan_time,composite_deviation_pct,sources_included,band
2026-08-21T10:32:31.385748+00:00,,0,
2026-08-21T11:48:12.369651+00:00,,0,
2026-08-21T12:34:55.729292+00:00,,0,
2026-08-21T13:22:14.971234+00:00,,0,
2026-08-21T15:37:03.424169+00:00,,0,
2026-08-21T15:58:33.907238+00:00,,0,
2026-08-21T18:05:01.864215+00:00,,1,
2026-08-21T19:43:31.444936+00:00,,1,
2026-08-22T03:21:57.396284+00:00,,1,
2026-08-22T04:04:48.478129+00:00,,1,
2026-08-22T07:57:12.979315+00:00,,1,
2026-08-22T11:46:23.070245+00:00,,1,
2026-08-22T15:47:11.576335+00:00,,1,
2026-08-22T19:46:25.516610+00:00,,1,
2026-08-22T23:48:01.539803+00:00,,1,
2026-08-23T04:13:43.863572+00:00,,1,
2026-08-23T07:59:57.805477+00:00,,1,
2026-08-23T11:45:03.561692+00:00,,1,
2026-08-23T15:48:23.358512+00:00,,1,
2026-08-23T19:46:13.018995+00:00,,1,
2026-08-23T23:47:53.854554+00:00,,1,
2026-08-24T04:18:26.865104+00:00,,1,
2026-08-24T08:18:46.526021+00:00,,1,
2026-08-24T08:48:54.442451+00:00,,1,
2026-08-24T11:53:02.824352+00:00,,1,
2026-08-24T16:06:46.357614+00:00,,1,
2026-08-24T19:53:44.031922+00:00,,1,
2026-08-24T23:48:02.618360+00:00,,1,
2026-08-25T04:11:28.100124+00:00,,1,
2026-08-25T08:11:16.428538+00:00,,1,
2026-08-25T11:53:21.451695+00:00,,1,
2026-08-25T16:12:39.365463+00:00,,1,
2026-08-25T19:56:17.043364+00:00,,1,
2026-08-25T23:50:20.439418+00:00,,1,
2026-08-26T04:16:23.151372+00:00,,1,
2026-08-26T08:13:40.428193+00:00,,1,
2026-08-26T11:53:37.626899+00:00,,1,
2026-08-26T16:43:34.834009+00:00,,1,
2026-08-26T22:03:40.912799+00:00,,1,
2026-08-27T04:48:51.842988+00:00,,1,
2026-08-27T14:21:58.722003+00:00,,1,
2026-08-27T18:18:41.279958+00:00,,1,
2026-08-27T18:36:55.609355+00:00,,1,
